Bait	Prey	#Rep	#Pep	AvgP	BFDR
EIF4A2	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	1	0.2762995	0.3294815
MEPCE	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	1	0.0087150	0.6086511
EIF4A2	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	4	0.8695915	0.0184447
MEPCE	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	4	0.3223856	0.2900915
EIF4A2	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	29	0.9856803	0.0011708
MEPCE	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	29	0.9980659	0.0001191
EIF4A2	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	44	1.0000000	0.0000000
MEPCE	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	44	0.3636561	0.2522892
EIF4A2	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	1	0.0060966	0.6187097
MEPCE	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	1	0.0017284	0.6468289
EIF4A2	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	2	0.8144340	0.0301186
MEPCE	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	2	0.8346232	0.0260462
EIF4A2	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	8	1.0000000	0.0000000
MEPCE	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	8	0.4894960	0.1714865
EIF4A2	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	1	0.0079008	0.6112092
MEPCE	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	1	0.6705201	0.0825429
EIF4A2	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	31	0.4237274	0.2090467
MEPCE	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	31	1.0000000	0.0000000
EIF4A2	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	1	0.0075253	0.6130183
MEPCE	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	1	0.1471136	0.4435427
EIF4A2	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	0.0311972	0.5623605
MEPCE	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	0.0024211	0.6403270
EIF4A2	gi|10863889|gn|SART1:9092| U4/U6	3	1	0.0043193	0.6281411
MEPCE	gi|10863889|gn|SART1:9092| U4/U6	3	1	0.8951160	0.0125246
EIF4A2	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	0.2816143	0.3249351
MEPCE	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	0.3654471	0.2509438
EIF4A2	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	0.5849464	0.1230230
MEPCE	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	0.9971976	0.0001934
EIF4A2	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	4	0.2261750	0.3703011
