Bait	Prey	#Rep	AvgP	BFDR
EIF4A2	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	0.1562416	0.3273285
MEPCE	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	0.0007382	0.6157784
EIF4A2	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	0.9677990	0.0017081
MEPCE	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	0.6186919	0.0941568
EIF4A2	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	0.9970709	0.0001456
MEPCE	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	0.9994669	0.0000238
EIF4A2	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	0.0725081	0.4002930
EIF4A2	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	0.0004504	0.6275176
MEPCE	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	0.0000481	0.6831076
EIF4A2	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	0.8994801	0.0050035
MEPCE	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	0.9994294	0.0000295
EIF4A2	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	0.6772204	0.0421580
EIF4A2	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	0.0043200	0.5590670
MEPCE	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	0.6687772	0.0569092
EIF4A2	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	0.0673262	0.4081857
MEPCE	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	0.0004928	0.6264406
MEPCE	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	0.1439101	0.3356905
EIF4A2	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	0.0124444	0.5069170
MEPCE	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	0.0000576	0.6783692
EIF4A2	gi|10863889|gn|SART1:9092| U4/U6	3	0.0022384	0.5839215
MEPCE	gi|10863889|gn|SART1:9092| U4/U6	3	0.9825155	0.0006862
EIF4A2	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	0.0054490	0.5486881
MEPCE	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	0.1230145	0.3558675
EIF4A2	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	0.5805958	0.1087193
MEPCE	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	0.0499265	0.4314638
MEPCE	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	0.9995909	0.0000189
EIF4A2	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	0.0080217	0.5264551
EIF4A2	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0037449	0.5635039
MEPCE	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	1.0000000	0.0000000
EIF4A2	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	0.0012450	0.6035306
MEPCE	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	0.0037903	0.5632107
EIF4A2	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0000086	0.7114500
MEPCE	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0000003	0.7319492
EIF4A2	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	1.0000000	0.0000000
MEPCE	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	0.6665903	0.0688465
EIF4A2	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	0.6660553	0.0715473
MEPCE	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	0.0152542	0.4964068
EIF4A2	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	0.3836975	0.1714656
MEPCE	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	0.2184159	0.2887205
EIF4A2	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	0.0000000	0.7374040
MEPCE	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	0.0000000	0.7371901
EIF4A2	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	0.0056215	0.5461767
MEPCE	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	0.0028126	0.5752033
EIF4A2	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	0.0000044	0.7165211
MEPCE	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	0.0000804	0.6719936
EIF4A2	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	0.0009035	0.6118566
